l1_category,revenue,cost,profit,qty,profit_margin,revenue_crore,profit_crore,qty_crore
Adult Diapers,1153110.598,1033258.0166000001,119852.5814,2484.0,0.10393849610599104,0.1153110598,0.01198525814,0.0002484
Skin Treatment,805846.3129999998,700616.4422759996,105229.87072399998,8134.0,0.13058305166434384,0.08058463129999999,0.010522987072399998,0.0008134
"Sausage, Salami & Ham",621165.469,520612.8753969998,100552.593603,3782.0,0.16187730745058526,0.06211654690000001,0.0100552593603,0.0003782
Mutton,606232.867,507640.41609000036,98592.45091000001,1370.0,0.16263131921219312,0.060623286699999994,0.009859245091000002,0.000137
Cleaning Needs,573090.3770000001,475118.5440939998,97971.83290599997,2088.0,0.170953547359948,0.05730903770000001,0.009797183290599996,0.0002088
Bathing Soaps,51002371.585,50905309.00152799,97062.58347200013,287097.0,0.001903099413921109,5.1002371585,0.009706258347200012,0.0287097
Party Essentials,244097.604,157605.66755499996,86491.93644500003,1333.0,0.35433341019193304,0.024409760399999997,0.008649193644500003,0.0001333
Sports & Fitness,296560.75,219181.24364999996,77379.50634999998,833.0,0.26092295204270954,0.029656075,0.007737950634999998,8.33e-05
Chyawanprash,1103239.367,1054109.9958120005,49129.37118800002,3773.0,0.04453192358571811,0.11032393670000001,0.004912937118800002,0.0003773
Pet Supplement,316791.65300000005,275337.88657000003,41453.76643000001,787.0,0.13085498319616395,0.031679165300000006,0.004145376643000001,7.87e-05
Baby Gift Set,311598.6,271007.25497999985,40591.345019999986,547.0,0.13026805967677643,0.031159859999999998,0.004059134501999999,5.47e-05
Shoe Polish & Brush,473543.6419999998,438476.27671400004,35067.36528599999,6356.0,0.07405308017206998,0.047354364199999985,0.003506736528599999,0.0006356
Machine & Car Care,121936.33499999999,92446.78516999999,29489.549830000007,717.0,0.24184382637054008,0.012193633499999999,0.0029489549830000006,7.17e-05
Plant Based Meat,99242.43299999999,70171.12917000001,29071.303829999968,305.0,0.2929321959488838,0.0099242433,0.0029071303829999967,3.05e-05
Precious Coins & Jewellery,421020.275,395045.83517,25974.43983,526.0,0.061694035590091234,0.0421020275,0.002597443983,5.26e-05
Pet Grooming & Accessories,247583.751,230948.45277,16635.29823,455.0,0.06719058970069486,0.0247583751,0.001663529823,4.55e-05
Bags,43243.0,30822.72005,12420.279949999995,73.0,0.2872205894595656,0.0043243,0.0012420279949999994,7.3e-06
