brand_name,revenue,cost,profit,qty,profit_margin,revenue_crore,profit_crore,qty_crore
Disano,3104142.9729999998,2678285.6046469985,425857.3683530001,29204.0,0.1371899980307383,0.3104142973,0.04258573683530001,0.0029204
Aquafina,1274350.519,855351.6655710001,418998.85342900007,50021.0,0.32879403836064985,0.1274350519,0.041899885342900005,0.0050021
Real Thai,1674164.0489999999,1265473.8723159996,408690.17668399995,10643.0,0.24411596756489662,0.16741640489999998,0.040869017668399996,0.0010643
Vinayak,1042820.2579999999,634351.493726,408468.7642739997,4694.0,0.3916962306211736,0.1042820258,0.040846876427399974,0.0004694
Hershey's,9926973.616999999,9520925.814093,406047.8029070003,131789.0,0.04090348363691036,0.9926973616999999,0.04060478029070003,0.0131789
Freshwrapp,1219412.716,814764.8538619996,404647.86213799997,9484.0,0.3318383159602872,0.1219412716,0.040464786213799994,0.0009484
Wheel,3999256.2839999995,3598421.4525800003,400834.83142,71896.0,0.10022734302466124,0.39992562839999996,0.040083483142,0.0071896
Ghadi,5492950.756000001,5092747.999311999,400202.75668799994,103877.0,0.07285751765585277,0.5492950756000001,0.040020275668799996,0.0103877
Listerine,1922240.694,1522460.6663179998,399780.027682,12819.0,0.2079760505174281,0.1922240694,0.0399780027682,0.0012819
Pepsi,8506411.182,8110451.445416999,395959.7365830002,148315.0,0.04654838898698798,0.8506411182,0.039595973658300025,0.0148315
TGFC,2342564.217,1947398.4018269996,395165.815173,13509.0,0.16868942687046942,0.23425642170000002,0.039516581517299997,0.0013509
Leonardo,3105628.0,2711409.6801899993,394218.3198100001,2124.0,0.12693674831950255,0.3105628,0.03942183198100001,0.0002124
Figaro,3899660.3079999997,3505659.303429998,394001.00457000016,9774.0,0.10103469878176892,0.3899660308,0.039400100457000015,0.0009774
Oreo,3311195.9290000005,2923100.880578001,388095.04842199996,73141.0,0.11720691156418726,0.33111959290000004,0.0388095048422,0.0073141
Britannia Treat,3834377.799,3449411.4691659976,384966.3298339998,97701.0,0.10039864353856796,0.3834377799,0.03849663298339998,0.0097701
